In Cart,Recommendation,Support,Confidence,Lift
apparel.shirt,electronics.smartphone + appliances.kitchen.kettle + appliances.kitchen.microwave,0.125,1.0,8.0
apparel.shirt,appliances.kitchen.kettle + sport.bicycle + appliances.kitchen.microwave,0.125,1.0,8.0
apparel.shirt,computers.components.hdd + computers.peripherals.mouse + appliances.kitchen.kettle,0.125,1.0,8.0
apparel.shirt,computers.components.hdd + appliances.kitchen.kettle + electronics.audio.headphone,0.125,1.0,8.0
apparel.shirt,computers.components.hdd + electronics.smartphone + appliances.kitchen.kettle,0.125,1.0,8.0
apparel.shirt,computers.components.hdd + appliances.kitchen.kettle + sport.bicycle,0.125,1.0,8.0
apparel.shirt,computers.peripherals.mouse + appliances.kitchen.kettle + electronics.audio.headphone,0.125,1.0,8.0
apparel.shirt,computers.peripherals.mouse + electronics.smartphone + appliances.kitchen.kettle,0.125,1.0,8.0
apparel.shirt,computers.peripherals.mouse + appliances.kitchen.kettle + sport.bicycle,0.125,1.0,8.0
apparel.shirt,electronics.smartphone + appliances.kitchen.kettle + electronics.audio.headphone,0.125,1.0,8.0
apparel.shirt,appliances.kitchen.kettle + electronics.audio.headphone + sport.bicycle,0.125,1.0,8.0
apparel.shirt,electronics.smartphone + appliances.kitchen.kettle + sport.bicycle,0.125,1.0,8.0
apparel.shirt,computers.components.hdd + computers.peripherals.mouse + appliances.kitchen.microwave,0.125,1.0,8.0
apparel.shirt,computers.components.hdd + electronics.audio.headphone + appliances.kitchen.microwave,0.125,1.0,8.0
apparel.shirt,computers.components.hdd + electronics.smartphone + appliances.kitchen.microwave,0.125,1.0,8.0
apparel.shirt,computers.components.hdd + sport.bicycle + appliances.kitchen.microwave,0.125,1.0,8.0
apparel.shirt,computers.peripherals.mouse + electronics.audio.headphone + appliances.kitchen.microwave,0.125,1.0,4.0
apparel.shirt,computers.peripherals.mouse + electronics.smartphone + appliances.kitchen.microwave,0.125,1.0,4.0
apparel.shirt,computers.peripherals.mouse + sport.bicycle + appliances.kitchen.microwave,0.125,1.0,8.0
apparel.shirt,electronics.smartphone + electronics.audio.headphone + appliances.kitchen.microwave,0.125,1.0,4.0
apparel.shirt,electronics.audio.headphone + sport.bicycle + appliances.kitchen.microwave,0.125,1.0,8.0
apparel.shirt,electronics.smartphone + sport.bicycle + appliances.kitchen.microwave,0.125,1.0,8.0
apparel.shirt,computers.components.hdd + computers.peripherals.mouse + electronics.audio.headphone,0.125,1.0,8.0
apparel.shirt,computers.components.hdd + computers.peripherals.mouse + electronics.smartphone,0.125,1.0,8.0
apparel.shirt,computers.components.hdd + computers.peripherals.mouse + sport.bicycle,0.125,1.0,8.0
apparel.shirt,computers.components.hdd + electronics.smartphone + electronics.audio.headphone,0.125,1.0,8.0
apparel.shirt,computers.components.hdd + electronics.audio.headphone + sport.bicycle,0.125,1.0,8.0
apparel.shirt,computers.components.hdd + electronics.smartphone + sport.bicycle,0.125,1.0,8.0
apparel.shirt,computers.peripherals.mouse + electronics.smartphone + electronics.audio.headphone,0.125,1.0,4.0
apparel.shirt,computers.peripherals.mouse + electronics.audio.headphone + sport.bicycle,0.125,1.0,8.0
apparel.shirt,computers.peripherals.mouse + electronics.smartphone + sport.bicycle,0.125,1.0,8.0
apparel.shirt,electronics.smartphone + electronics.audio.headphone + sport.bicycle,0.125,1.0,8.0
apparel.trousers,computers.components.hdd + appliances.kitchen.kettle + appliances.kitchen.microwave,0.125,1.0,8.0
apparel.trousers,computers.peripherals.mouse + appliances.kitchen.kettle + appliances.kitchen.microwave,0.125,1.0,8.0
apparel.trousers,appliances.kitchen.kettle + electronics.audio.headphone + appliances.kitchen.microwave,0.125,1.0,8.0
apparel.trousers,electronics.smartphone + appliances.kitchen.kettle + appliances.kitchen.microwave,0.125,1.0,8.0
apparel.trousers,appliances.kitchen.kettle + sport.bicycle + appliances.kitchen.microwave,0.125,1.0,8.0
apparel.trousers,computers.components.hdd + computers.peripherals.mouse + appliances.kitchen.kettle,0.125,1.0,8.0
apparel.trousers,computers.components.hdd + appliances.kitchen.kettle + electronics.audio.headphone,0.125,1.0,8.0
apparel.trousers,computers.components.hdd + electronics.smartphone + appliances.kitchen.kettle,0.125,1.0,8.0
apparel.trousers,computers.components.hdd + appliances.kitchen.kettle + sport.bicycle,0.125,1.0,8.0
apparel.trousers,computers.peripherals.mouse + appliances.kitchen.kettle + electronics.audio.headphone,0.125,1.0,8.0
apparel.trousers,computers.peripherals.mouse + electronics.smartphone + appliances.kitchen.kettle,0.125,1.0,8.0
apparel.trousers,computers.peripherals.mouse + appliances.kitchen.kettle + sport.bicycle,0.125,1.0,8.0
apparel.trousers,electronics.smartphone + appliances.kitchen.kettle + electronics.audio.headphone,0.125,1.0,8.0
apparel.trousers,appliances.kitchen.kettle + electronics.audio.headphone + sport.bicycle,0.125,1.0,8.0
apparel.trousers,electronics.smartphone + appliances.kitchen.kettle + sport.bicycle,0.125,1.0,8.0
apparel.trousers,computers.components.hdd + computers.peripherals.mouse + appliances.kitchen.microwave,0.125,1.0,8.0
apparel.trousers,computers.components.hdd + electronics.audio.headphone + appliances.kitchen.microwave,0.125,1.0,8.0
apparel.trousers,computers.components.hdd + electronics.smartphone + appliances.kitchen.microwave,0.125,1.0,8.0
apparel.trousers,computers.components.hdd + sport.bicycle + appliances.kitchen.microwave,0.125,1.0,8.0
apparel.trousers,computers.peripherals.mouse + electronics.audio.headphone + appliances.kitchen.microwave,0.125,1.0,4.0
apparel.trousers,computers.peripherals.mouse + electronics.smartphone + appliances.kitchen.microwave,0.125,1.0,4.0
apparel.trousers,computers.peripherals.mouse + sport.bicycle + appliances.kitchen.microwave,0.125,1.0,8.0
apparel.trousers,electronics.smartphone + electronics.audio.headphone + appliances.kitchen.microwave,0.125,1.0,4.0
apparel.trousers,electronics.audio.headphone + sport.bicycle + appliances.kitchen.microwave,0.125,1.0,8.0
apparel.trousers,electronics.smartphone + sport.bicycle + appliances.kitchen.microwave,0.125,1.0,8.0
apparel.trousers,computers.components.hdd + computers.peripherals.mouse + electronics.audio.headphone,0.125,1.0,8.0
apparel.trousers,computers.components.hdd + computers.peripherals.mouse + electronics.smartphone,0.125,1.0,8.0
apparel.trousers,computers.components.hdd + computers.peripherals.mouse + sport.bicycle,0.125,1.0,8.0
apparel.trousers,computers.components.hdd + electronics.smartphone + electronics.audio.headphone,0.125,1.0,8.0
apparel.trousers,computers.components.hdd + electronics.audio.headphone + sport.bicycle,0.125,1.0,8.0
apparel.trousers,computers.components.hdd + electronics.smartphone + sport.bicycle,0.125,1.0,8.0
apparel.trousers,computers.peripherals.mouse + electronics.smartphone + electronics.audio.headphone,0.125,1.0,4.0
apparel.trousers,computers.peripherals.mouse + electronics.audio.headphone + sport.bicycle,0.125,1.0,8.0
apparel.trousers,computers.peripherals.mouse + electronics.smartphone + sport.bicycle,0.125,1.0,8.0
apparel.trousers,electronics.smartphone + electronics.audio.headphone + sport.bicycle,0.125,1.0,8.0
appliances.environment.vacuum,appliances.kitchen.dishwasher + appliances.environment.air_conditioner + appliances.kitchen.hood,0.125,1.0,8.0
appliances.environment.vacuum,appliances.kitchen.dishwasher + appliances.environment.air_conditioner + appliances.kitchen.oven,0.125,1.0,8.0
appliances.environment.vacuum,appliances.kitchen.dishwasher + appliances.environment.air_conditioner + appliances.kitchen.refrigerators,0.125,1.0,8.0
appliances.environment.vacuum,appliances.kitchen.dishwasher + appliances.personal.scales + appliances.environment.air_conditioner,0.125,1.0,8.0
appliances.environment.vacuum,appliances.kitchen.dishwasher + computers.peripherals.printer + appliances.environment.air_conditioner,0.125,1.0,8.0
appliances.environment.vacuum,appliances.kitchen.dishwasher + appliances.environment.air_conditioner + electronics.audio.headphone,0.125,1.0,8.0
appliances.environment.vacuum,appliances.environment.air_conditioner + appliances.kitchen.hood + appliances.kitchen.oven,0.125,1.0,8.0
appliances.environment.vacuum,appliances.environment.air_conditioner + appliances.kitchen.refrigerators + appliances.kitchen.hood,0.125,1.0,8.0
appliances.environment.vacuum,appliances.personal.scales + appliances.environment.air_conditioner + appliances.kitchen.hood,0.125,1.0,8.0
appliances.environment.vacuum,computers.peripherals.printer + appliances.environment.air_conditioner + appliances.kitchen.hood,0.125,1.0,8.0
appliances.environment.vacuum,appliances.environment.air_conditioner + electronics.audio.headphone + appliances.kitchen.hood,0.125,1.0,8.0
appliances.environment.vacuum,appliances.environment.air_conditioner + appliances.kitchen.refrigerators + appliances.kitchen.oven,0.125,1.0,8.0
appliances.environment.vacuum,appliances.personal.scales + appliances.environment.air_conditioner + appliances.kitchen.oven,0.125,1.0,8.0
appliances.environment.vacuum,computers.peripherals.printer + appliances.environment.air_conditioner + appliances.kitchen.oven,0.125,1.0,8.0
appliances.environment.vacuum,appliances.environment.air_conditioner + electronics.audio.headphone + appliances.kitchen.oven,0.125,1.0,8.0
appliances.environment.vacuum,appliances.environment.air_conditioner + appliances.personal.scales + appliances.kitchen.refrigerators,0.125,1.0,4.0
appliances.environment.vacuum,appliances.environment.air_conditioner + computers.peripherals.printer + appliances.kitchen.refrigerators,0.125,1.0,8.0
appliances.environment.vacuum,appliances.kitchen.refrigerators + appliances.environment.air_conditioner + electronics.audio.headphone,0.125,1.0,4.0
appliances.environment.vacuum,appliances.personal.scales + computers.peripherals.printer + appliances.environment.air_conditioner,0.125,1.0,8.0
appliances.environment.vacuum,appliances.environment.air_conditioner + appliances.personal.scales + electronics.audio.headphone,0.125,1.0,4.0
appliances.environment.vacuum,appliances.environment.air_conditioner + computers.peripherals.printer + electronics.audio.headphone,0.125,1.0,8.0
appliances.kitchen.coffee_grinder,appliances.iron + appliances.environment.air_conditioner + appliances.kitchen.refrigerators,0.125,1.0,8.0
appliances.kitchen.coffee_grinder,appliances.iron + appliances.environment.air_conditioner + appliances.kitchen.toster,0.125,1.0,8.0
appliances.kitchen.coffee_grinder,appliances.iron + appliances.environment.air_conditioner + appliances.personal.massager,0.125,1.0,8.0
appliances.kitchen.coffee_grinder,appliances.iron + appliances.personal.scales + appliances.environment.air_conditioner,0.125,1.0,8.0
appliances.kitchen.coffee_grinder,electronics.audio.headphone + appliances.iron + appliances.environment.air_conditioner,0.125,1.0,4.0
appliances.kitchen.coffee_grinder,electronics.smartphone + appliances.iron + appliances.environment.air_conditioner,0.125,1.0,8.0
appliances.kitchen.coffee_grinder,appliances.iron + appliances.environment.air_conditioner + electronics.tablet,0.125,1.0,8.0
appliances.kitchen.grill,appliances.iron + computers.peripherals.keyboard + appliances.environment.air_conditioner,0.125,0.5,4.0
appliances.kitchen.grill,computers.peripherals.mouse + appliances.iron + appliances.environment.air_conditioner,0.125,0.5,4.0
appliances.kitchen.grill,computers.peripherals.scanner + appliances.iron + appliances.environment.air_conditioner,0.125,0.5,4.0
appliances.kitchen.grill,appliances.iron + appliances.environment.air_conditioner + furniture.kitchen.table,0.125,0.5,4.0
appliances.kitchen.toster,appliances.iron + appliances.environment.air_conditioner + appliances.kitchen.refrigerators,0.125,1.0,8.0
appliances.personal.massager,appliances.iron + appliances.environment.air_conditioner + appliances.kitchen.refrigerators,0.125,1.0,8.0
appliances.kitchen.refrigerators + appliances.environment.air_conditioner,appliances.iron + appliances.personal.scales,0.125,0.5,4.0
electronics.smartphone + appliances.environment.air_conditioner,appliances.iron + appliances.kitchen.refrigerators,0.125,1.0,8.0
electronics.tablet,appliances.iron + appliances.environment.air_conditioner + appliances.kitchen.refrigerators,0.125,0.5,4.0
appliances.kitchen.toster,appliances.iron + appliances.environment.air_conditioner + appliances.personal.massager,0.125,1.0,8.0
appliances.kitchen.toster,appliances.iron + appliances.personal.scales + appliances.environment.air_conditioner,0.125,1.0,8.0
appliances.kitchen.toster,appliances.iron + appliances.environment.air_conditioner + electronics.audio.headphone,0.125,1.0,4.0
appliances.kitchen.toster,electronics.smartphone + appliances.iron + appliances.environment.air_conditioner,0.125,1.0,8.0
appliances.kitchen.toster,appliances.iron + appliances.environment.air_conditioner + electronics.tablet,0.125,1.0,8.0
appliances.personal.massager,appliances.iron + appliances.personal.scales + appliances.environment.air_conditioner,0.125,1.0,8.0
appliances.personal.massager,appliances.iron + appliances.environment.air_conditioner + electronics.audio.headphone,0.125,1.0,4.0
appliances.personal.massager,electronics.smartphone + appliances.iron + appliances.environment.air_conditioner,0.125,1.0,8.0
appliances.personal.massager,appliances.iron + appliances.environment.air_conditioner + electronics.tablet,0.125,1.0,8.0
electronics.smartphone + appliances.environment.air_conditioner,appliances.iron + appliances.personal.scales,0.125,1.0,8.0
electronics.tablet,appliances.iron + appliances.personal.scales + appliances.environment.air_conditioner,0.125,0.5,4.0
computers.peripherals.keyboard,computers.peripherals.mouse + appliances.iron + appliances.environment.air_conditioner,0.125,1.0,8.0
computers.peripherals.keyboard,computers.peripherals.scanner + appliances.iron + appliances.environment.air_conditioner,0.125,1.0,8.0
computers.peripherals.keyboard,appliances.iron + appliances.environment.air_conditioner + electronics.audio.headphone,0.125,1.0,4.0
computers.peripherals.keyboard,appliances.iron + appliances.environment.air_conditioner + furniture.kitchen.table,0.125,1.0,8.0
computers.peripherals.scanner,computers.peripherals.mouse + appliances.iron + appliances.environment.air_conditioner,0.125,1.0,8.0
furniture.kitchen.table,computers.peripherals.mouse + appliances.iron + appliances.environment.air_conditioner,0.125,0.5,4.0
computers.peripherals.scanner,electronics.audio.headphone + appliances.iron + appliances.environment.air_conditioner,0.125,1.0,4.0
computers.peripherals.scanner,appliances.iron + appliances.environment.air_conditioner + furniture.kitchen.table,0.125,1.0,8.0
appliances.iron + appliances.environment.air_conditioner,electronics.audio.headphone + furniture.kitchen.table,0.125,0.5,4.0
electronics.tablet,electronics.smartphone + appliances.iron + appliances.environment.air_conditioner,0.125,0.5,4.0
appliances.kitchen.coffee_grinder,appliances.kitchen.toster + appliances.environment.air_conditioner + appliances.kitchen.refrigerators,0.125,1.0,8.0
appliances.kitchen.coffee_grinder,appliances.environment.air_conditioner + appliances.kitchen.refrigerators + appliances.personal.massager,0.125,1.0,8.0
appliances.kitchen.coffee_grinder,appliances.environment.air_conditioner + appliances.personal.scales + appliances.kitchen.refrigerators,0.125,1.0,4.0
appliances.kitchen.coffee_grinder,electronics.audio.headphone + appliances.environment.air_conditioner + appliances.kitchen.refrigerators,0.125,1.0,4.0
appliances.kitchen.coffee_grinder,electronics.smartphone + appliances.environment.air_conditioner + appliances.kitchen.refrigerators,0.125,1.0,8.0
appliances.kitchen.coffee_grinder,appliances.environment.air_conditioner + appliances.kitchen.refrigerators + electronics.tablet,0.125,1.0,8.0
appliances.kitchen.coffee_grinder,appliances.kitchen.toster + appliances.environment.air_conditioner + appliances.personal.massager,0.125,1.0,8.0
appliances.kitchen.coffee_grinder,appliances.kitchen.toster + appliances.personal.scales + appliances.environment.air_conditioner,0.125,1.0,8.0
appliances.kitchen.coffee_grinder,electronics.audio.headphone + appliances.kitchen.toster + appliances.environment.air_conditioner,0.125,1.0,8.0
appliances.kitchen.coffee_grinder,electronics.smartphone + appliances.kitchen.toster + appliances.environment.air_conditioner,0.125,1.0,8.0
appliances.kitchen.coffee_grinder,appliances.kitchen.toster + appliances.environment.air_conditioner + electronics.tablet,0.125,1.0,8.0
appliances.kitchen.coffee_grinder,appliances.personal.scales + appliances.environment.air_conditioner + appliances.personal.massager,0.125,1.0,8.0
appliances.kitchen.coffee_grinder,appliances.environment.air_conditioner + electronics.audio.headphone + appliances.personal.massager,0.125,1.0,8.0
appliances.kitchen.coffee_grinder,electronics.smartphone + appliances.environment.air_conditioner + appliances.personal.massager,0.125,1.0,8.0
appliances.kitchen.coffee_grinder,electronics.tablet + appliances.environment.air_conditioner + appliances.personal.massager,0.125,1.0,8.0
appliances.kitchen.coffee_grinder,appliances.environment.air_conditioner + appliances.personal.scales + electronics.audio.headphone,0.125,1.0,4.0
appliances.kitchen.coffee_grinder,electronics.smartphone + appliances.personal.scales + appliances.environment.air_conditioner,0.125,1.0,8.0
appliances.kitchen.coffee_grinder,appliances.personal.scales + appliances.environment.air_conditioner + electronics.tablet,0.125,1.0,8.0
appliances.kitchen.coffee_grinder,electronics.smartphone + appliances.environment.air_conditioner + electronics.audio.headphone,0.125,1.0,8.0
appliances.kitchen.coffee_grinder,appliances.environment.air_conditioner + electronics.audio.headphone + electronics.tablet,0.125,1.0,8.0
appliances.kitchen.coffee_grinder,electronics.smartphone + appliances.environment.air_conditioner + electronics.tablet,0.125,1.0,8.0
appliances.kitchen.dishwasher,appliances.environment.air_conditioner + appliances.kitchen.hood + appliances.kitchen.oven,0.125,1.0,8.0
appliances.kitchen.dishwasher,appliances.environment.air_conditioner + appliances.kitchen.refrigerators + appliances.kitchen.hood,0.125,1.0,8.0
appliances.kitchen.dishwasher,appliances.personal.scales + appliances.environment.air_conditioner + appliances.kitchen.hood,0.125,1.0,8.0
appliances.kitchen.dishwasher,computers.peripherals.printer + appliances.environment.air_conditioner + appliances.kitchen.hood,0.125,1.0,8.0
appliances.kitchen.dishwasher,appliances.environment.air_conditioner + electronics.audio.headphone + appliances.kitchen.hood,0.125,1.0,8.0
appliances.kitchen.dishwasher,appliances.environment.air_conditioner + appliances.kitchen.refrigerators + appliances.kitchen.oven,0.125,1.0,8.0
appliances.kitchen.dishwasher,appliances.personal.scales + appliances.environment.air_conditioner + appliances.kitchen.oven,0.125,1.0,8.0
appliances.kitchen.dishwasher,computers.peripherals.printer + appliances.environment.air_conditioner + appliances.kitchen.oven,0.125,1.0,8.0
appliances.kitchen.dishwasher,appliances.environment.air_conditioner + electronics.audio.headphone + appliances.kitchen.oven,0.125,1.0,8.0
appliances.kitchen.dishwasher,appliances.environment.air_conditioner + appliances.personal.scales + appliances.kitchen.refrigerators,0.125,1.0,4.0
appliances.kitchen.dishwasher,appliances.environment.air_conditioner + computers.peripherals.printer + appliances.kitchen.refrigerators,0.125,1.0,8.0
appliances.kitchen.dishwasher,appliances.kitchen.refrigerators + appliances.environment.air_conditioner + electronics.audio.headphone,0.125,1.0,4.0
appliances.kitchen.dishwasher,appliances.personal.scales + appliances.environment.air_conditioner + computers.peripherals.printer,0.125,1.0,8.0
appliances.kitchen.dishwasher,appliances.environment.air_conditioner + appliances.personal.scales + electronics.audio.headphone,0.125,1.0,4.0
appliances.kitchen.dishwasher,appliances.environment.air_conditioner + computers.peripherals.printer + electronics.audio.headphone,0.125,1.0,8.0
appliances.kitchen.grill,computers.peripherals.mouse + computers.peripherals.keyboard + appliances.environment.air_conditioner,0.125,0.5,4.0
appliances.kitchen.grill,computers.peripherals.scanner + computers.peripherals.keyboard + appliances.environment.air_conditioner,0.125,0.5,4.0
appliances.kitchen.grill,appliances.environment.air_conditioner + computers.peripherals.keyboard + electronics.audio.headphone,0.125,0.5,4.0
appliances.kitchen.grill,computers.peripherals.keyboard + appliances.environment.air_conditioner + furniture.kitchen.table,0.125,0.5,4.0
appliances.kitchen.grill,computers.peripherals.scanner + computers.peripherals.mouse + appliances.environment.air_conditioner,0.125,0.5,4.0
appliances.kitchen.grill,computers.peripherals.mouse + appliances.environment.air_conditioner + electronics.audio.headphone,0.125,0.5,4.0
appliances.kitchen.grill,computers.peripherals.mouse + appliances.environment.air_conditioner + furniture.kitchen.table,0.125,0.5,4.0
appliances.kitchen.grill,computers.peripherals.scanner + appliances.environment.air_conditioner + electronics.audio.headphone,0.125,0.5,4.0
appliances.kitchen.grill,computers.peripherals.scanner + appliances.environment.air_conditioner + furniture.kitchen.table,0.125,0.5,4.0
appliances.kitchen.grill,appliances.environment.air_conditioner + electronics.audio.headphone + furniture.kitchen.table,0.125,0.5,4.0
appliances.kitchen.hood,appliances.environment.air_conditioner + appliances.kitchen.refrigerators + appliances.kitchen.oven,0.125,1.0,8.0
appliances.kitchen.hood,appliances.personal.scales + appliances.environment.air_conditioner + appliances.kitchen.oven,0.125,1.0,8.0
appliances.kitchen.hood,computers.peripherals.printer + appliances.environment.air_conditioner + appliances.kitchen.oven,0.125,1.0,8.0
appliances.kitchen.hood,appliances.environment.air_conditioner + electronics.audio.headphone + appliances.kitchen.oven,0.125,1.0,8.0
appliances.kitchen.hood,appliances.environment.air_conditioner + appliances.personal.scales + appliances.kitchen.refrigerators,0.125,1.0,4.0
appliances.kitchen.hood,appliances.environment.air_conditioner + computers.peripherals.printer + appliances.kitchen.refrigerators,0.125,1.0,8.0
appliances.kitchen.hood,appliances.kitchen.refrigerators + appliances.environment.air_conditioner + electronics.audio.headphone,0.125,1.0,4.0
appliances.kitchen.hood,appliances.personal.scales + computers.peripherals.printer + appliances.environment.air_conditioner,0.125,1.0,8.0
appliances.kitchen.hood,appliances.environment.air_conditioner + appliances.personal.scales + electronics.audio.headphone,0.125,1.0,4.0
appliances.kitchen.hood,appliances.environment.air_conditioner + computers.peripherals.printer + electronics.audio.headphone,0.125,1.0,8.0
appliances.kitchen.oven,appliances.environment.air_conditioner + appliances.personal.scales + appliances.kitchen.refrigerators,0.125,1.0,4.0
appliances.kitchen.oven,appliances.environment.air_conditioner + computers.peripherals.printer + appliances.kitchen.refrigerators,0.125,1.0,8.0
appliances.kitchen.oven,appliances.kitchen.refrigerators + appliances.environment.air_conditioner + electronics.audio.headphone,0.125,1.0,4.0
appliances.kitchen.oven,appliances.personal.scales + appliances.environment.air_conditioner + computers.peripherals.printer,0.125,1.0,8.0
appliances.kitchen.oven,appliances.environment.air_conditioner + appliances.personal.scales + electronics.audio.headphone,0.125,1.0,4.0
appliances.kitchen.oven,appliances.environment.air_conditioner + computers.peripherals.printer + electronics.audio.headphone,0.125,1.0,8.0
appliances.kitchen.toster,appliances.environment.air_conditioner + appliances.kitchen.refrigerators + appliances.personal.massager,0.125,1.0,8.0
appliances.kitchen.toster,appliances.environment.air_conditioner + appliances.personal.scales + appliances.kitchen.refrigerators,0.125,1.0,4.0
appliances.kitchen.toster,appliances.kitchen.refrigerators + appliances.environment.air_conditioner + electronics.audio.headphone,0.125,1.0,4.0
appliances.kitchen.toster,electronics.smartphone + appliances.environment.air_conditioner + appliances.kitchen.refrigerators,0.125,1.0,8.0
appliances.kitchen.toster,appliances.kitchen.refrigerators + appliances.environment.air_conditioner + electronics.tablet,0.125,1.0,8.0
appliances.personal.massager,appliances.environment.air_conditioner + appliances.personal.scales + appliances.kitchen.refrigerators,0.125,1.0,4.0
appliances.personal.massager,appliances.kitchen.refrigerators + appliances.environment.air_conditioner + electronics.audio.headphone,0.125,1.0,4.0
appliances.personal.massager,electronics.smartphone + appliances.environment.air_conditioner + appliances.kitchen.refrigerators,0.125,1.0,8.0
appliances.personal.massager,appliances.kitchen.refrigerators + appliances.environment.air_conditioner + electronics.tablet,0.125,1.0,8.0
computers.peripherals.printer,appliances.environment.air_conditioner + appliances.personal.scales + appliances.kitchen.refrigerators,0.125,1.0,4.0
appliances.kitchen.refrigerators + appliances.environment.air_conditioner,appliances.personal.scales + electronics.audio.headphone,0.25,1.0,4.0
appliances.kitchen.refrigerators + appliances.environment.air_conditioner,appliances.personal.scales + electronics.tablet,0.125,0.5,4.0
computers.peripherals.printer,appliances.kitchen.refrigerators + appliances.environment.air_conditioner + electronics.audio.headphone,0.125,1.0,4.0
electronics.smartphone + appliances.environment.air_conditioner,appliances.kitchen.refrigerators + electronics.audio.headphone,0.125,1.0,4.0
appliances.environment.air_conditioner + electronics.tablet,appliances.kitchen.refrigerators + electronics.audio.headphone,0.125,1.0,4.0
electronics.tablet,electronics.smartphone + appliances.environment.air_conditioner + appliances.kitchen.refrigerators,0.125,0.5,4.0
appliances.kitchen.toster,appliances.personal.scales + appliances.environment.air_conditioner + appliances.personal.massager,0.125,1.0,8.0
appliances.kitchen.toster,appliances.environment.air_conditioner + electronics.audio.headphone + appliances.personal.massager,0.125,1.0,8.0
appliances.kitchen.toster,electronics.smartphone + appliances.environment.air_conditioner + appliances.personal.massager,0.125,1.0,8.0
appliances.kitchen.toster,appliances.environment.air_conditioner + electronics.tablet + appliances.personal.massager,0.125,1.0,8.0
appliances.kitchen.toster,appliances.environment.air_conditioner + appliances.personal.scales + electronics.audio.headphone,0.125,1.0,4.0
appliances.kitchen.toster,electronics.smartphone + appliances.personal.scales + appliances.environment.air_conditioner,0.125,1.0,8.0
appliances.kitchen.toster,appliances.personal.scales + appliances.environment.air_conditioner + electronics.tablet,0.125,1.0,8.0
appliances.kitchen.toster,electronics.smartphone + appliances.environment.air_conditioner + electronics.audio.headphone,0.125,1.0,8.0
appliances.kitchen.toster,appliances.environment.air_conditioner + electronics.audio.headphone + electronics.tablet,0.125,1.0,8.0
appliances.kitchen.toster,electronics.smartphone + appliances.environment.air_conditioner + electronics.tablet,0.125,1.0,8.0
appliances.personal.massager,appliances.environment.air_conditioner + appliances.personal.scales + electronics.audio.headphone,0.125,1.0,4.0
appliances.personal.massager,electronics.smartphone + appliances.personal.scales + appliances.environment.air_conditioner,0.125,1.0,8.0
appliances.personal.massager,appliances.environment.air_conditioner + appliances.personal.scales + electronics.tablet,0.125,1.0,8.0
appliances.personal.massager,electronics.smartphone + appliances.environment.air_conditioner + electronics.audio.headphone,0.125,1.0,8.0
appliances.personal.massager,electronics.audio.headphone + appliances.environment.air_conditioner + electronics.tablet,0.125,1.0,8.0
appliances.personal.massager,electronics.smartphone + appliances.environment.air_conditioner + electronics.tablet,0.125,1.0,8.0
computers.peripherals.printer,appliances.environment.air_conditioner + appliances.personal.scales + electronics.audio.headphone,0.125,1.0,4.0
electronics.smartphone + appliances.environment.air_conditioner,appliances.personal.scales + electronics.audio.headphone,0.125,1.0,4.0
appliances.environment.air_conditioner + electronics.tablet,appliances.personal.scales + electronics.audio.headphone,0.125,1.0,4.0
electronics.tablet,electronics.smartphone + appliances.personal.scales + appliances.environment.air_conditioner,0.125,0.5,4.0
computers.peripherals.keyboard,computers.peripherals.scanner + computers.peripherals.mouse + appliances.environment.air_conditioner,0.125,1.0,8.0
computers.peripherals.keyboard,computers.peripherals.mouse + appliances.environment.air_conditioner + electronics.audio.headphone,0.125,1.0,8.0
computers.peripherals.keyboard,computers.peripherals.mouse + appliances.environment.air_conditioner + furniture.kitchen.table,0.125,1.0,8.0
computers.peripherals.keyboard,computers.peripherals.scanner + appliances.environment.air_conditioner + electronics.audio.headphone,0.125,1.0,8.0
computers.peripherals.keyboard,computers.peripherals.scanner + appliances.environment.air_conditioner + furniture.kitchen.table,0.125,1.0,8.0
computers.peripherals.keyboard,appliances.environment.air_conditioner + electronics.audio.headphone + furniture.kitchen.table,0.125,1.0,8.0
computers.peripherals.scanner,computers.peripherals.mouse + appliances.environment.air_conditioner + electronics.audio.headphone,0.125,1.0,8.0
computers.peripherals.scanner,computers.peripherals.mouse + appliances.environment.air_conditioner + furniture.kitchen.table,0.125,1.0,8.0
furniture.kitchen.table,computers.peripherals.mouse + appliances.environment.air_conditioner + electronics.audio.headphone,0.125,0.5,4.0
computers.peripherals.scanner,appliances.environment.air_conditioner + electronics.audio.headphone + furniture.kitchen.table,0.125,1.0,8.0
electronics.tablet,electronics.smartphone + appliances.environment.air_conditioner + electronics.audio.headphone,0.125,0.5,4.0
appliances.environment.vacuum,appliances.kitchen.dishwasher + appliances.kitchen.hood + appliances.kitchen.oven,0.125,1.0,8.0
appliances.environment.vacuum,appliances.kitchen.dishwasher + appliances.kitchen.refrigerators + appliances.kitchen.hood,0.125,1.0,8.0
appliances.environment.vacuum,appliances.kitchen.dishwasher + appliances.personal.scales + appliances.kitchen.hood,0.125,1.0,8.0
appliances.environment.vacuum,appliances.kitchen.dishwasher + computers.peripherals.printer + appliances.kitchen.hood,0.125,1.0,8.0
appliances.environment.vacuum,appliances.kitchen.dishwasher + electronics.audio.headphone + appliances.kitchen.hood,0.125,1.0,8.0
appliances.environment.vacuum,appliances.kitchen.dishwasher + appliances.kitchen.refrigerators + appliances.kitchen.oven,0.125,1.0,8.0
